,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
11315,16,19900,Mitcham Railway Station (Mitcham),-37.8180870551977,145.192891813036,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.192891813036 -37.8180870551977)
11316,17,19901,Heatherdale Railway Station (Ringwood),-37.8188348484408,145.213549822481,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.213549822481 -37.8188348484408)
11317,18,19902,Ringwood Railway Station (Ringwood),-37.815659765275,145.229473723591,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.229473723591 -37.815659765275)
11318,19,19871,Heathmont Railway Station (Heathmont),-37.8283222725421,145.244555375848,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.244555375848 -37.8283222725421)
11319,20,19870,Bayswater Railway Station (Bayswater),-37.8417300411029,145.268136389217,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.268136389217 -37.8417300411029)
11320,21,19869,Boronia Railway Station (Boronia),-37.860451799848,145.28438514597,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.28438514597 -37.860451799848)
11321,22,19868,Ferntree Gully Railway Station (Ferntree Gully),-37.8816979923612,145.295251256598,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.295251256598 -37.8816979923612)
11322,23,19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.8926717009423,145.307530188155,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.307530188155 -37.8926717009423)
11323,24,19846,Upwey Railway Station (Upwey),-37.9036909717488,145.331333355214,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.331333355214 -37.9036909717488)
11324,25,19845,Tecoma Railway Station (Tecoma),-37.9081184864054,145.342994577662,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.342994577662 -37.9081184864054)
11325,26,19844,Belgrave Railway Station (Belgrave),-37.9091020974745,145.355291282858,2-BEL-mjp-7,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.355291282858 -37.9091020974745)
11326,2,19885,Hallam Railway Station (Hallam),-38.0177403817842,145.269776796453,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.269776796453 -38.0177403817842)
11327,3,19884,Narre Warren Railway Station (Narre Warren),-38.0278093151715,145.303969385674,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.303969385674 -38.0278093151715)
11328,4,19883,Berwick Railway Station (Berwick),-38.0404082905026,145.345726085505,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.345726085505 -38.0404082905026)
11329,5,19882,Beaconsfield Railway Station (Beaconsfield),-38.0508313517859,145.366073739227,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.366073739227 -38.0508313517859)
11330,6,19881,Officer Railway Station (Officer),-38.0661457168679,145.41098723091,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.41098723091 -38.0661457168679)
11331,7,45794,Cardinia Road Railway Station (Pakenham),-38.0712904706666,145.437791007046,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.437791007046 -38.0712904706666)
11332,8,19880,Pakenham Railway Station (Pakenham),-38.0806139738095,145.486379074704,2-PKM-mjp-4,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000,POINT (145.486379074704 -38.0806139738095)
11333,1,20030,Broadmeadows Railway Station (Broadmeadows),-37.6830492642131,144.919613216031,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.919613216031 -37.6830492642131)
11334,2,20031,Jacana Railway Station (Glenroy),-37.6951307851368,144.915850518758,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.915850518758 -37.6951307851368)
11335,3,20032,Glenroy Railway Station (Glenroy),-37.7045363302368,144.917220403897,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.917220403897 -37.7045363302368)
11336,4,20033,Oak Park Railway Station (Oak Park),-37.717949728725,144.921518773078,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.921518773078 -37.717949728725)
